,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,cockburn town,21.4612,-71.1419,84.16,70,75,5.75,TC,1634668126
301,popondetta,-8.7537,148.2534,71.71,96,22,3.27,PG,1634668566
302,zhezkazgan,47.8043,67.7144,49.37,34,98,8.3,KZ,1634668567
303,itajai,-26.9078,-48.6619,69.78,56,75,10.36,BR,1634668549
304,wittenheim,47.8078,7.337,61.54,77,68,5.26,FR,1634668567
305,malacacheta,-17.8422,-42.0767,70.66,89,100,1.57,BR,1634668567
306,tarko-sale,64.9225,77.785,42.98,81,100,22.53,RU,1634668568
307,novopokrovka,49.8425,36.5477,41.38,64,26,7.56,UA,1634668568
308,ryotsu,38.0833,138.4333,59.72,76,100,29.55,JP,1634668569
309,leningradskiy,69.3833,178.4167,25.18,92,100,13.71,RU,1634668156
310,san luis,-33.295,-66.3356,81.05,15,0,8.05,AR,1634668569
311,potosi,-19.5836,-65.7531,63.07,8,34,11.97,BO,1634668569
312,groningen,53.25,6.75,63.01,78,90,4.0,NL,1634668342
313,islamkot,24.6997,70.177,79.81,52,0,13.09,PK,1634668570
314,malakal,9.5334,31.6605,81.01,51,91,3.44,SS,1634668570
315,cornwall,45.0181,-74.7281,57.61,66,90,9.22,CA,1634668505
316,marrakesh,31.6315,-8.0083,89.67,20,0,5.75,MA,1634668473
317,shahrud,36.4182,54.9763,55.8,65,6,7.18,IR,1634668570
318,gayny,60.3071,54.3241,33.69,81,100,7.05,RU,1634668571
319,airai,-8.9266,125.4092,61.99,79,20,1.95,TL,1634668277
320,stornoway,58.2093,-6.3865,57.16,94,75,5.75,GB,1634668571
321,tiksi,71.6872,128.8694,17.98,96,100,6.76,RU,1634668572
322,tamayong,7.1331,125.3797,72.59,88,85,1.81,PH,1634668572
323,saint-francois,46.4154,3.9054,56.68,82,0,3.44,FR,1634668572
324,arys,42.4252,68.795,55.62,22,100,6.38,KZ,1634668573
325,hami,42.8,93.45,54.34,24,1,1.77,CN,1634668172
326,niono,14.2526,-5.993,88.79,40,40,11.77,ML,1634668573
327,henties bay,-22.116,14.2845,58.86,89,100,8.43,NA,1634668279
328,xuddur,4.1213,43.8894,76.77,72,76,15.14,SO,1634668210
